Comment	Sentiment	Score
공정 평등 직권 남용 도둑 현명 판단 악질 사악 도둑 심판 판단 육각수 현명 판단 초전 박살 기호 허경영 통장 평생 새마을 정신 공약 정책 가지 각종 보상 혜택 걱정 자손 후손 결혼 행복	0	-2
공감 능력 정무 감각	1	1
응원 우리나라 기호 승리 기호 선택 선택	0	-1
대도 조세형 찢명이 도둑 기술 조세형 출마	0	-1
바보	0	-1
복기왕 공정 상식 정의 기사 걱정	0	-1
믿음	1	1
세계 영웅	1	1
소외 노심초사 마음	0	-1
이사 옆집 진실	1	1
이좨명 집안 싸움	0	-1
결단 감사	1	1
범죄자	0	-1
부정 승리	0	-2
인생 자체 모순 덩어리 죄명	0	-1
희망	1	1
쉴드치려 악당 피해 호소	0	-2
최고 다주거쓰	1	1
샤이 죄명 거론 부정 획책 술수	0	-1
노예 기호 허경영	0	-1
신동욱 앵커 진실	1	1
도둑	0	-1
기다려바바 재미	1	1
존경 존경 허풍	1	2
천박 전과	0	-1
찬양 허경영	1	1
인지 예산 여성부 강화 여성부 예산 관리 사회 악순환 국방비 예산	0	-1
부정 탄핵 감옥	0	-2
감옥 뉴스 포장	0	-1
추진 성남 대장동 개발 사업 이대엽 시장 신영수 의원 주동 공공 개발 추진 포기 다음 민간 개발 추진 이대엽 시장 뇌물 수수 혐의 구속 바람 성남시장 시장 공공 개발 추진 소속 이명박 남경필 경기 도지사 성남시의회 의장 최윤 의장 총력 민간 개발 압박 방법 동원 시장 추진 공공 개발 시장 사업 시행 공공 개발 민간 개발 사업 타협안 결정 민관 합동 개발 사업	0	-2
감사	1	1
감동	1	1
대법 진실	1	1
신동욱 앵커 감사	1	1
비밀 무효 최선 비밀 안전	1	1
리더 필요 적재적소 능력 배치 안목 카리스마 결단력	1	2
신동욱 앵커 정확 감사	1	1
수단 방법 취급 심판 까도까 양파 거짓말 집단 제거	0	-1
대장동 관련자 폭로 의문 죽음	0	-1
진실	1	1
찢재명아 감옥	0	-1
유기 행복 입양 근황 거짓 뉴스 근황 토리 안락사 수술 치료 근황 성남시청 구석 호텔 방치 행복이 악질 입양 가족 행복 파양	1	2
불로 소득 인정 토지 보유 도입	1	2
발차기 태권도 이낙연 난색 모습 요번 한쪽 진영 저급 저질	0	-1
앵커 거짓말 이제	0	-1
이제 지도자 덕목 처음 거짓말 도덕	0	-1
범죄자 영부인 연설	0	-1
용기 정의 경의	1	1
도둑 부부	0	-1
존경 이유	1	1
불법 의전	0	-1
형수 욕설 파일	0	-1
사기 김건 전공 거짓말	0	-1
경력 위조 가짜 수상 논문 박사 학위 전시회 협찬금 양평 투기 쥴리	0	-2
족발 선택 손가락 후회 맹종 양심 회복 유능 선택 후손 법사	0	-1
죄명 박정희 참배 죄명 마음 참배 참배 잡놈 집구석	0	-1
악마	0	-1
상식 이득 세상	1	1
감사	1	1
남편 눈썹 테클 진절머리	0	-1
죄명 인생 거짓말	0	-1
부정 사전 움직임 쁘락치 의심 상식 사전 기회	0	-2
존경	1	1
복합 쇼핑몰 기업 독과점 서울 복합 쇼핑몰 순간 길옆 상점 상가 강남 터미널 상가 복합 쇼핑몰 예외 옆줄 상가 맹추 데이트 소비 행동 소비 독과점 소비자 손실 개별 점포 경쟁력 다양 소비 개인 상점 쇼핑몰 이유 쇼핑몰 사무실 분양 폭등 주택 가격 폭등 가지 복합 비밀 기업 단순 문화 공간 기업 바이어 이유 대기업 잽이 이유 삼성 공화국 삼성 검사 방법 삼성 장학 검찰 공화국 검찰 권력 공감 티브이 방송 개인 사업체 몰수 권력 사단 이용 범죄 문화 공간 광주 주둥이 이유 부패	0	-1
도지사 급여 욕심 나랏돈 양심 쉴드치 우롱 위인	0	-1
출마 대상자 부정 용지 무더기 대상자 사죄 사퇴	0	-1
바보	0	-1
부패 덩어리 거짓말 혈세 달인 전과	0	-1
왜투표지 인쇄 관리인 도장 얼마 부정 용지 대량 발생	0	-1
멍청이	0	-1
거짓 통제 그림자 킬러	0	-1
서울 법대 출신 센스 순발력 최고 부정부패 청소 경제 자영업자 기업 자유	1	1
당권 싸움	0	-1
아파트 상호 신상 파악 거짓말 이낙연	0	-1
멧돼지 도리 도리 감옥 준비	1	1
저번 총선 민경욱 의원 중앙 집계 서버 압수 압수 중앙 서버 비밀 인식 감시 총선 바보 오늘 빨갱이 심판	0	-1
안전	1	1
년대 연금 고갈 적자 전환 세대 희망	1	1
정부 무능 거짓말	0	-1
고속도로 가짜 문서 논두렁 시계 시즌	0	-1
불법 부부 대장동 특검	0	-1
정운 실장 괴물	0	-1
티비 조선 편파 가짜 뉴스 조작 선동	0	-1
개코 악당 민주 대우 신익희 조병옥 부정 비리 정당 공산주의 정당 정당 정당 구실	0	-2
어머니 쌍욕 협박 친형 형수 부부	0	-1
똥개 찬양	1	1
삼라만상 상처 하지 우주 법계 계시 우리나라 임명 영매	0	-1
이승만 박정희 며역 눈물 전과 역사 개돼지 거짓말	0	-2
악마	0	-1
한마디 꼴불견	0	-1
대시 문제 소음 원인 대시벨 건축 구조 자제 건물 입지 환경 조건 천차만별	0	-1
까도까 양파 정말 사퇴 수사 창피	0	-1
청와대 부동산 정책 보고 청와대 수석 직원 싸움 성황 설명 독재 지대 행정 시간 비상 체제 선포 당사 투쟁 공작 부정 공모 의구심 재미 부정	0	-2
거짓말	0	-1
사기 발생 용지 봉투 사기 감시 바구니 봉투 쓰레기통 꼼수 속마음 시민 행동 대응 무효다 승리	0	-1
세계 정복 강대국 신뢰도 위상 세계 정복 긍정 희망	1	2
부정 증거	0	-1
으마으마 범죄자 죄명	0	-1
부정 중국인 개표	0	-1
저주	0	-1
행태 본인 우파 볼모 이익	1	1
망신	0	-1
유감 본인 준비	0	-1
부정 복어 사용 내역	0	-1
사전 확대 연령 총선 부정 수사 역적 매국노 전부 참수	0	-1
불당 전과 부부 소름	0	-1
회계 주위 죽음 반성 악마	0	-2
진실 호감	1	2
경기 도둑 경륜 바늘 도둑 전국 흑심 마느라 필리핀 벞카 도둑 도박 범죄 가족 범죄 소굴 거짓말 똥오줌 전체 경제통 경제 도둑 아비규환 사리사욕 고통 악행 보스	0	-8
기질 정신 정상	1	1
범죄 이력	0	-1
출처 검찰 개혁 서초동 촛불 집회 적극 참여 고려대 민주 동우회 시국 선언문	1	1
선관위 거리 동안 지경 인식 봉기	0	-1
특권 반칙 세상	1	1
거짓말	0	-1
국가 계획 검찰 기득 가족 비리 바락 결국 화풀이 특검 대답 소리 전쟁 장난 개념 자식 인질 자식 머리 총구 흉악범 자식 생명 상관 몽둥이 맞짱 개념 화풀이 자리 상황 무식 큰일 미얀마	0	-3
여론 조사 가짜	0	-1
신동욱 앵커 감사	1	1
특권 반칙 세상	1	1
부정	0	-1
노선 노선 복합 쇼핑몰 기업 독과점 서울 복합 쇼핑몰 순간 길옆 상점 상가 강남 터미널 상가 복합 쇼핑몰 예외 옆줄 상가 맹추 데이트 소비 행동 소비 독과점 소비자 손실 개별 점포 경쟁력 다양 소비 개인 상점 쇼핑몰 이유 쇼핑몰 사무실 분양 폭등 주택 가격 폭등 가지 복합 비밀 기업 단순 문화 공간 기업 바이어 이유 대기업 잽이 이유 삼성 공화국 삼성 검사 방법 삼성 장학 검찰 공화국 검찰 권력 공감 티브이 방송 개인 사업체 몰수 권력 사단 이용 범죄 문화 공간 광주 주둥이 이유 부패	0	-1
카멜레온 자본주의 최대 괴물	0	-1
인정 도장 당장 도장 댓글	1	1
부정 소지	0	-1
신동욱 앵커 시선 최고	1	1
악성	0	-1
신뢰 쓰레기	1	1
세금 도둑	0	-1
미인	1	1
거짓말 거짓말	0	-2
국가 부채 가계 부채 여유 완전 사기	1	1
확진자 이유 부정 아난 ㅡ레기	0	-1
폭력 특기	0	-1
구조 연구 대상	1	1
거짓말 재명이 본인	0	-1
욕심	0	-1
소고기 범인 사이코패스	0	-1
한국 멸망 집값 이치 이념 신경 현실 인정	1	1
더려운위 구역질 나네	0	-1
진실 용기 감사	1	3
불법 사과	0	-1
도둑	0	-1
부정 사건 내무부 장관 최인규 교수형 선관위 짓거리	0	-1
거짓말	0	-1
거짓말 패널 정신 건강	0	-1
바보	0	-1
유행 정점 검사 양성 유지 구석 불구경 구경 청와대 재난 컨트롤 타워 천막 시위 유가족 인터뷰 하머 여자 등등 거짓 소문 공격 행동 확진자 숟가락 터널 고생 큰일 쌩쑈 확진자 책임 동네 이장	0	-2
박빙 여론 조사 조작 부정 사전 작업 여당	0	-1
존경 윤미향 존경 정신	1	2
거짓 사기 도달 목표 모범 인물	0	-1
가지가지 의문점 유죄 가마	0	-1
부정	0	-1
앞뒤 전체 문맥 물타기 메세지 왜곡 용어 수사 뱉아진 기분 잘못 영어 상대방 입장 사기 눈앞 이익 인기 영합 작심 언어 소통 능력 부족 악의 왜곡 신물 어휘 마감 문맥 조응천 공부 문맥 정의 조응천 문맥 리좌명 속마음 완벽 문장 문맥 무지 소치 습관 사과 인정 의식 선진국	1	2
사전 이전 부정	0	-1
진실	1	1
이래 범죄자 지지자 사기꾼 이해	0	-1
부정	0	-1
축하	1	1
바보	0	-1
거짓말	0	-1
경제 전문가 대장동 백현동 성남 전과 비리 주범 세금 횡령 가족 경제	1	1
정신 경선 정신 공갈 협박 단합	0	-2
발전 희망	1	2
몰표 부정	0	-1
기생충 도둑	0	-1
창피 사라	0	-1
심판 ᆢ어찌 따위 거짓 위선 선동 밑바닥	0	-1
괴물	0	-1
노력 대로 인정	1	1
사기꾼 충성 의문	1	1
탄로 악마 편집	0	-1
승리	0	-1
소림 소리 불법 위법 소리	0	-2
선관위 부정 몸통 당일 책임	0	-1
협박 쌍욕	0	-1
성형 의심 성형 질투 대상 여자 여자 김건희 여사	0	-1
조사 최고 호텔 깜빵으로고고	1	1
부정	0	-1
기표 기표 투표함 부정	0	-1
추미애 인생 시간 인생 뉴스 아줌마 불편 결정체	0	-1
감사	1	1
부정 예견 부정 사형 예산 감사 부정 특검	0	-2
망신	0	-1
죄명 회견 까도까 전과 클라스	1	1
유사시 일본 한반도 일본 침략 계기 얘기 동학 혁명 한반도 전쟁 유일 일본 실망	0	-1
부정 사전 무효 처리	0	-1
거짓말	0	-1
신뢰 믿음 승리 기원	1	1
성형 능력	1	1
러시아 그동안 요원 우크라 러시아 침투 무기 반란 지원 평화 유지 핑계 침공 년도 크림반도 합병 돈바스 독립 선포 그동안 필사 나토 가입	0	-1
용기 존경	1	2
거짓말	0	-1
죄명 교양	1	1
부정	0	-1
창피	0	-1
부정	0	-1
기호 허경영 마음 손가락 국가 걱정 건강 행복 마을 정신 공약 정책 한계 선물 악질 공정 평등 직권 남용 ㅡ무시하 도둑 강탈 초전 박살 천벌 악질 악인 물러거라 기호 허경영 물러거라 천벌 악질 악인 물러거라 악질 악인 물러거라 악질 악인 초전 박살 공정 평등 직권 남용 모로쇠로 일관 양심 진심 안정 평화 논화지 마시오 시국 진실 정당 모방 모함 험담 비방 거짓 세상 일관 반성 각성 여러분 힘넵시다 파이팅 스마일 단결 자유 만세 기호 허경영 근면 자조 협동 마을 공약 정책 정신 세계 최초 만세 만세 만세 단결 도둑 갈취 악질 공정 평등 직권 남용 초전 박살 걱정 정의 걱정 세계 부강 세계 자랑 자유 최선 기호 허경영 손길 자유 도둑 초전 박살 악질 악인 반성 각성 도둑 사기꾼 전부 기호 허경영 코로나 지원금 공약 이행 확약서 작성 완료 허경영 홈피 약속 이행 확약서 자유 만세 악질 악인 최악 발악 기호 허경영 애국 애족 여러분 파이팅 스마일 단결	0	-12
최고 응원 팩트 홧팅 뿌리뽑자 팩트	1	1
거짓말	0	-1
선관위 부정 사전 무효	0	-1
남녀 갈등 혐오 문화 조성 악화 출산 저하 악순환	0	-2
능력 횡령	1	1
재명이 거짓말 전과자 거짓말 정신	0	-2
특권 반칙 세상	1	1
가시 거짓 호도 대변인 변명	0	-1
죄명 감옥 마누라 아들 감옥	0	-2
흉악 살인 변호사	0	-2
정신 보복 김혜경 도둑 부부 소고기	0	-1
살림 위기	0	-1
김혜경 거짓말	0	-1
거짓말	0	-1
악마 주둥이	0	-1
방역 패스 자영업자 보상 자유 장사 지하철 버스 감기 환자 계절 독감 독감 주사 아침 기상 종합감기약 판피 박스 구비 감기 증상 미국 퇴역 추진 잠수함 정비 한국 판매 핵폭탄 개발 보유 용인 젖자 사전 우편 표지 지그재그 딱지 투표함 개표 철통 경비 보호 전자 개표기 감시 관찰 당선인 결정 투표지 관리 위원회 결정 만큼 중앙 선관위 감시 관찰 당일 단결	0	-5
부정	0	-1
거짓말	0	-1
범죄 기획 가담자	0	-1
까도까 양파 기생충 소고기 기생충 백숙 기생충 초밥 기생충 세금 기생충 당장 조사 진실	1	1
코로나 핑계 부실 가장 부정 조사	0	-1
포기 행위 주권 포기 투표장 행사	0	-2
이준석 이완용 사랑	1	1
필자 도덕 분야 스마트 전문가 필수 조건	1	2
옆집 용도 최악 범죄 행위	0	-2
괴물	0	-1
단군 이래 최고	1	1
앵커 지적 품격 여유	1	2
어르신 감사	1	1
투표함 바꿔치기 위헌 간접 주머니 얼굴 확인 부정 부실 지지율 사태 파악 진후 후회 결과 도둑놈 주권 도적 의지 지도자 민주주의 유린 부정 부실 구분 보복 괴멸 시나리오	0	-4
상식 이득 세상	1	1
인생 패륜아 괴물 희대 사기 막장	0	-1
대장동 수사 자살 마감 죽음 모습	0	-1
완전 사기꾼 지옥	0	-1
과거 흑역사	0	-1
분노 중국 러시아 지구	0	-1
윤미향 말뚝 고통 체감	0	-1
거짓말	0	-1
아이 창피	0	-1
학력 위조 주가조작	0	-1
바보 의원 정신	0	-1
사기 거짓말	0	-1
건강 최고	1	1
악취 경기 도민	0	-1
부정 부정 부정 월급 따위	0	-3
책임감 중요	1	1
윤미 쉴드	1	1
품격 갗추	1	1
범죄자 비리	0	-1
영웅 박정희 각하 따님 뇌물 깡통테블릿 묵시 청탁 경제 공동체 운운 구형 수갑 포토 라인 모욕 엉터리 재판 수술 집행 정지 신청 묵살 내곡동 사저 사기 검사 검사 쓰레기 두껍 부친 박정희 각하 고개 사악 악마 천벌 대장동 사건 쌍끌이 특검 깜빵 수순 천벌	0	-2
바보 멍텅구리	0	-1
대장동 똘마니 아바타 거짓말 거짓말 거짓말 거짓말 몸통 감옥	0	-5
코로나 진정 세계 최고 자랑	1	1
재명이 눈치 진실 고생	1	1
주가 조작 눈물 개미	0	-1
세금 도둑	0	-1
개자식	0	-1
시간 검표 참관 부정 사실 씹주당아	0	-1
정운현 쓰레기 배신 배신 신뢰	1	1
도둑 우기	0	-1
의사 성공 교수 성공 백신 프로그램 일본 중소기업 운영 직원 월급 직원 회사 자금 주식 절반 기부 자식 인생 좌지우지 신중	1	3
진정 진실	1	1
짜장 밥값 먼지	0	-1
도둑	0	-1
전원 패날 프로 낭비 공정 언론인	0	-1
간질 좌파	0	-1
찌꺼기	0	-1
수사 범죄 사실 처벌	0	-1
비판 정치인	0	-1
대장동 사건 수사 본인 불리 진술 유서 억울 압박 거처 피해자 피해	0	-1
부정 결과	0	-1
거짓 죄명 아웃	0	-1
순수 어이 제안 거짓말 중심 욕심 잇속 협박 벤뎅 양심 인격 양호 이제 의심 시간 찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡찡	0	-4
욕설	0	-1
중요 갈림길 위기 담벼락 소리 심정 만약 홍준표 후보자	0	-1
연설 인격 걱정 인생 검찰 생활 검찰 총장 자리 고위 공직자 유세 연설 흐름 자연 전문 걱정 필요	0	-2
거짓말	0	-1
나토 가입 미국 미국 입장 우크라이나 바보 이용 미국 서방 대신 싸우나 중립 미국 서방	0	-1
자리 욕심	0	-1
거짓말 대권	0	-1
거짓 권력 순간 서도	0	-1
부정 기호 관리 위원회 부정 정부 책임	0	-2
엄마 살인자 변호 데이트 폭력 치부 아빠 피눈물	0	-3
유럽 미국 자유 사랑 이익 언론 플레이 프로파간다 시전	1	2
김건희 최은 최고 사기 집단	1	1
전경련 특별 인출 편입 추진 하자 기축 통화 장점 기축 통화 세계 거래 원화 사용 기사 착각 거짓말 해외 기축 통화 화폐 원화 기축 통화 조건 안정 원화 기축 통화 안정 해외 한국 무역 적자 자국 화폐 해외 유통 유의미 영향 광범위 사용 원화 국제 사회 굉범위 사용 원화 세계 외환 보유액 달러	1	2
부정 획책 방송 준비	0	-1
형수 욕설 옆집 의혹	0	-1
희생 안전 국가 불당 사고 역사 최고 산불 방지 취약 시기 특별 노력 각종 사고 정쟁 안전 뒷걸음	1	3
당선자 부정 몸통	0	-1
검사 임용 정상 시력	1	1
최순실 무당 청와대 무속신앙 거짓 선동 선전 재미 재탕 좌빨 죄명 관상 닝기루	0	-1
특정 경제 범죄 가중 처벌법 배임 뇌물 공여 혐의 변호사 구속 기소 검찰 배임 액수 적시	0	-1
참고 보수 가치 무게	1	1
행복	1	1
거짓말	0	-1
정책 깡통 안중 보따리 권투 싸움 장면 정책 허경영	0	-1
성남시 비율 이익 확정 이익 상승 차익 행사	1	2
김혜경 도둑	0	-1
자유당 한국 현재 비리 부정부패 사회 곳곳 만연 완성 민주주의 착각 당장 지위 차별 뿌리 자리 러시아 자격	1	1
사전 부정 빌미 당일	0	-1
대장동 몸통 사악 범죄자	0	-1
전라도 역사 배경 지리 여건 설명 박정희 비하 고향 찬양 소리	1	1
황교익 걱정	0	-1
승리 빨갱이	0	-1
쩌쪽 공학 기술자 집단 부정 부패 무능 집단 병신 살포 바이러스 좀비	0	-2
망신 사기꾼들	0	-1
김동연 후회 죄명 심상정 마음 바보 후회	0	-3
위기 연설	0	-1
목적 수단 조국 지지자 후회	0	-1
세금 도둑	0	-1
메인스타듐을 마지막 생명수 마지막 부정	0	-1
앵커 시선 신동욱 최고	1	1
행사 매수 판단 시도 자체 자유 민주주의 훼손 엄중 기만 만인 평등 오용 남용 이권 이득	0	-2
눈물 눈물 잔인 정치인	0	-2
의심	0	-1
좌파 선관위 기대 조작	1	1
여당 이익	1	1
거짓말	0	-1
진실	1	1
인성 모럴 신뢰 신빙 문제 얼굴	1	1
사전 역대 최고 확정 중국 최고 의원 지시 행동 정보 검열	1	2
포괄 사과 진자 그짓말 뽀록나 포괄 사과	1	1
상식 이득 세상	1	1
부정 위험 사퇴 투표용지 이슈 악마	0	-2
바보	0	-1
토건 범죄	0	-1
신동욱 앵크 존경	1	1
최고 명품 사과	1	1
접대부 주가 조작 규모 불법 대출 재산 증식 토건 뇌물 선물 카리스마	0	-1
대장동 누나 아버지 수사 검사 부산저축은행 대출 비리 감옥 대장 이유 대장 뇌물 수수 의혹 보수 인사 황교안 체제 아래 감옥 대구 사과 마디 책임	0	-2
상식 녹취 수행 비서 먼지 통화 내용 반대 조작	0	-1
용기 진실 감사 거짓말 관심	1	2
이명박 그네 최저 시급 최저 시급 고정 노인 연금 올림 빨갱이 공산주의 반대 최저 시급 노인 연금 혜택 왜국	1	1
의리 거짓말 마누라 도둑 아들 초밥 쌘드위치 한우 마사지 도박 또라이 정신 교육대 재인 머허냐 너도적패냐 죄수 번호 번호 마음 천지 경호원 필요	0	-3
조선 댓글 부대 조작 부정 각본	0	-1
비리 부정 세금 도둑 유세	0	-2
바보	0	-1
악마 정신	0	-1
겨울 찢재 악마	0	-1
김건희 주가 조작 추궁 장모 김건 학력 위조 조국 감옥 공평 각성 그릇 김건희 무당 손바닥 보도 수사비 보도 편견	0	-3
뒷감당 거짓말 변명	0	-1
비리 범벅 적폐 능력 심판 능력 비리 적폐 교대 의미	1	2
쥴리 술집 접대부 신천지 이만희 선제 타격 전쟁 외신 전쟁 걱정 최저 임금 폐지 노동 제도 폐지 이치 모터스 주가 조작 검찰 특활 사용 장모 재판 무마 주택 청약 만점 예고 공정 자체 부패 근원	0	-1
애국자 감사	1	1
민국 안보 평화 축복 영원 하늘 영광 축복	1	3
부정 소지 단정	0	-1
발전 균형 발전 감정	1	2
범죄자	0	-1
거짓말 지지자 초딩 거짓말 자연	0	-2
검찰 당장 대장동 범인 구속	0	-1
눈물	0	-1
세금 도둑	0	-1
부정 사형 관리 부실 사형	0	-1
감탄 감탄 감탄 만세 만세 만세 징조 물결	1	3
분노	0	-1
처음 전라도 김대중 정신 혼란 박정희 세계 만큼 존경	1	1
이유 부정 용납	0	-1
창피	0	-1
정부 심판 국격 양아치 비리 남부 거짓말 위선 사기 속임수	0	-2
부정 병신	0	-1
경기도 관광지 불법 영업자 협상 설득 자발 자진 철거 공공 시민	0	-1
부산저축은행 불법 대출 용의자 커피 범죄 누나 현금 얘기	0	-2
도둑 년놈 거짓말	0	-2
거짓말	0	-1
범죄자 행위 범죄 부정행위 행위 부정 부정 범죄인 문제 제기 지적 고발 최종 사법부 판단 방법 원칙 권력 사법부 불의 혁명	0	-6
가짜 뉴스 조선 방송	0	-1
사랑	1	1
